Card,Avg Location
2H,25.9997
2D,25.997385
2C,25.999205
2S,26.019248
3H,26.002614
3D,26.02632
3C,25.982642
3S,25.997569
4H,25.993816
4D,26.000253
4C,25.977326
4S,26.037175
5H,26.017904
5D,25.9895
5C,26.007584
5S,26.001228
6H,26.017576
6D,26.005539
6C,25.981837
6S,25.998625
7H,25.978851
7D,25.98862
7C,26.005572
7S,25.980655
8H,26.020616
8D,25.988458
8C,25.966051
8S,25.974424
9H,26.02726
9D,26.007853
9C,26.008983
9S,25.989104
TH,26.000242
TD,26.001234
TC,25.992715
TS,25.970355
JH,25.98906
JD,25.985283
JC,26.028272
JS,26.001178
QH,26.014716
QD,25.991091
QC,26.010554
QS,26.025697
KH,26.005065
KD,26.005751
KC,25.994941
KS,26.000869
AH,26.013812
AD,26.008036
AC,25.98272
AS,25.988916
