Card,Avg Location
2H,26.0433
2D,26.07285
2C,26.0594
2S,25.97303
3H,25.99705
3D,26.02711
3C,26.0621
3S,25.9395
4H,26.03223
4D,26.02654
4C,26.00847
4S,25.98331
5H,26.01073
5D,26.00762
5C,25.9352
5S,25.96291
6H,25.96483
6D,26.04881
6C,26.01434
6S,26.03321
7H,26.04599
7D,25.99183
7C,25.98598
7S,26.00952
8H,26.06587
8D,25.99849
8C,25.93783
8S,26.00937
9H,25.99087
9D,25.96391
9C,26.04201
9S,26.03218
TH,25.90828
TD,25.99435
TC,26.00319
TS,25.93797
JH,25.95091
JD,25.91166
JC,25.93671
JS,26.00701
QH,25.96211
QD,25.93364
QC,26.00403
QS,26.06563
KH,25.9692
KD,26.02975
KC,26.07233
KS,25.98898
AH,25.8961
AD,26.0432
AC,26.06565
AS,26.04291
