Card,Avg Location
2H,25.98269
2D,26.08527
2C,26.02401
2S,26.00945
3H,25.97416
3D,25.96343
3C,26.01141
3S,26.06936
4H,25.97954
4D,26.0007
4C,25.98609
4S,26.03477
5H,25.99228
5D,25.99572
5C,26.02307
5S,26.03307
6H,26.021
6D,25.98376
6C,25.97967
6S,25.96289
7H,25.94325
7D,26.00637
7C,25.97323
7S,25.95942
8H,25.99979
8D,26.00836
8C,25.98715
8S,25.96227
9H,25.99902
9D,26.09383
9C,26.00681
9S,26.04771
TH,25.94414
TD,25.96817
TC,25.96389
TS,26.004
JH,25.98874
JD,25.94999
JC,26.0171
JS,26.04958
QH,26.06802
QD,26.01914
QC,26.05919
QS,26.01327
KH,26.02414
KD,26.00907
KC,25.96557
KS,25.89268
AH,25.98148
AD,25.94987
AC,26.00218
AS,26.03023
