Card,Avg Location
2H,26.0019042
2D,25.996536283333334
2C,25.997706433333335
2S,26.002206666666666
3H,26.00326415
3D,25.9976893
3C,25.998384266666665
3S,25.999667133333332
4H,26.002705533333334
4D,26.0004158
4C,26.00093885
4S,26.003692366666666
5H,25.999724333333333
5D,25.999046633333332
5C,25.996702466666665
5S,25.9945684
6H,25.999470583333334
6D,25.998691683333334
6C,25.99707535
6S,25.996946416666667
7H,26.00425285
7D,26.00027775
7C,25.998468483333333
7S,26.000875816666667
8H,25.996968283333334
8D,26.00000375
8C,25.99986955
8S,26.002319766666666
9H,26.002863
9D,25.999312033333332
9C,25.998309483333333
9S,26.00013565
TH,25.99653285
TD,26.002975783333333
TC,26.00109721666667
TS,25.999847083333332
JH,25.9999438
JD,26.001426516666665
JC,26.0015753
JS,26.003085783333333
QH,26.00429925
QD,25.998007166666667
QC,26.00099305
QS,25.999067216666667
KH,25.99775195
KD,26.003152183333334
KC,25.999567466666665
KS,25.999834616666668
AH,26.000604133333333
AD,26.001542933333333
AC,26.000233733333335
AS,25.9974687
