Card,Avg Location
2H,25.688175270108044
2D,25.99139655862345
2C,25.93797519007603
2S,26.108643457382954
3H,26.114545818327333
3D,26.111144457783112
3C,25.882252901160463
3S,26.002901160464187
4H,26.184273709483794
4D,26.318627450980394
4C,26.139155662264905
4S,26.06812725090036
5H,25.99359743897559
5D,26.20608243297319
5C,25.76840736294518
5S,25.916966786714685
6H,26.11014405762305
6D,26.15606242496999
6C,26.009603841536613
6S,25.98549419767907
7H,25.819427771108444
7D,26.073529411764707
7C,26.17466986794718
7S,26.00860344137655
8H,25.95578231292517
8D,25.813825530212085
8C,26.098839535814324
8S,25.748399359743896
9H,25.961984793917566
9D,25.965286114445778
9C,25.879651860744296
9S,26.212885154061624
TH,25.87575030012005
TD,25.898959583833534
TC,25.648059223689476
TS,25.853341336534612
JH,26.264105642256904
JD,25.97889155662265
JC,26.12484993997599
JS,26.08203281312525
QH,25.80392156862745
QD,25.7922168867547
QC,25.85534213685474
QS,26.28731492597039
KH,25.924869947979193
KD,26.113545418167266
KC,26.166066426570627
KS,25.974489795918366
AH,25.964285714285715
AD,26.22248899559824
AC,25.930872348939577
AS,25.832132853141257
