Card,Avg Location
2H,26.112
2D,25.492
2C,25.995
2S,26.768
3H,26.455
3D,25.582
3C,25.742
3S,26.054
4H,25.853
4D,26.275
4C,26.074
4S,26.574
5H,26.002
5D,26.071
5C,26.732
5S,26.418
6H,25.922
6D,26.436
6C,25.897
6S,25.715
7H,25.699
7D,25.641
7C,25.567
7S,25.727
8H,25.484
8D,25.506
8C,26.172
8S,26.575
9H,26.225
9D,24.875
9C,25.788
9S,26.203
TH,26.012
TD,25.823
TC,25.298
TS,25.957
JH,26.048
JD,25.657
JC,25.694
JS,26.157
QH,26.756
QD,27.037
QC,25.246
QS,26.87
KH,25.566
KD,26.768
KC,26.076
KS,26.396
AH,25.468
AD,26.175
AC,26.106
AS,25.259
