Card,Avg Location
2H,26.004547
2D,26.037536
2C,26.002622
2S,26.005715
3H,25.979206
3D,26.020281
3C,25.992562
3S,26.018031
4H,26.005287
4D,25.994192
4C,26.004894
4S,25.957208
5H,26.029064
5D,25.991614
5C,26.025927
5S,25.980764
6H,25.997395
6D,26.018954
6C,26.00879
6S,25.995263
7H,25.99467
7D,25.99414
7C,25.998085
7S,26.019392
8H,25.992748
8D,25.987741
8C,26.012281
8S,26.014782
9H,26.00425
9D,25.97889
9C,25.985993
9S,26.01008
TH,26.003884
TD,25.996512
TC,25.990908
TS,25.964801
JH,25.994095
JD,25.971553
JC,26.005134
JS,26.011817
QH,26.02105
QD,26.004633
QC,25.997446
QS,25.977625
KH,26.008461
KD,25.992913
KC,26.013152
KS,25.993958
AH,26.015629
AD,25.988993
AC,25.996086
AS,25.988446
