Card,Avg Location
2H,26.012268
2D,25.988126
2C,26.011008
2S,25.988474
3H,25.958698
3D,26.032031
3C,25.997163
3S,26.013409
4H,25.99177
4D,25.997575
4C,26.011903
4S,26.006972
5H,26.032642
5D,26.006663
5C,26.002099
5S,26.01671
6H,26.0047
6D,25.991973
6C,26.005211
6S,25.986933
7H,26.00507
7D,26.007996
7C,26.001686
7S,26.009567
8H,26.002954
8D,26.001016
8C,25.998078
8S,25.987759
9H,25.989356
9D,25.998729
9C,26.002208
9S,25.991434
TH,25.99738
TD,26.010628
TC,25.994535
TS,25.985039
JH,25.969471
JD,26.011575
JC,26.003857
JS,26.004914
QH,26.003631
QD,25.989756
QC,25.997653
QS,25.985939
KH,26.003284
KD,26.008769
KC,25.980114
KS,26.016183
AH,25.984287
AD,25.980538
AC,26.011014
AS,26.009252
