Card,Avg Location
2H,25.9958215
2D,26.0003245
2C,25.993328666666667
2S,26.015017166666667
3H,25.993432666666667
3D,26.006255666666668
3C,26.003225666666665
3S,25.995112
4H,25.9949015
4D,25.989548166666665
4C,26.0024595
4S,26.000294166666666
5H,26.005669
5D,26.002267833333335
5C,26.003465666666667
5S,26.002867166666668
6H,25.99485333333333
6D,25.996972
6C,25.998968333333334
6S,26.01084983333333
7H,25.991793166666668
7D,25.996242
7C,25.989090833333332
7S,25.993820666666668
8H,25.999560333333335
8D,25.9828345
8C,25.999309666666665
8S,25.997631666666667
9H,26.003148166666666
9D,25.999374166666666
9C,26.004572166666666
9S,26.007868333333334
TH,25.998506666666668
TD,25.994367
TC,26.004699666666667
TS,25.995345166666667
JH,25.999668333333332
JD,26.001540333333335
JC,26.005010666666667
JS,26.001369166666667
QH,26.003930166666667
QD,26.002743833333334
QC,26.003361833333333
QS,25.997916166666666
KH,26.013917
KD,25.997125666666665
KC,26.002773666666666
KS,25.999252333333335
AH,26.003647166666667
AD,26.001696166666665
AC,26.004370333333334
AS,25.997878666666665
