Card,Avg Location
2H,25.9974599
2D,26.0009917
2C,26.0014525
2S,25.9945142
3H,26.0014908
3D,26.0101426
3C,26.0006353
3S,25.9967135
4H,26.003692
4D,26.0020832
4C,25.9959903
4S,25.9955844
5H,26.0059141
5D,25.997112
5C,26.0051525
5S,26.0029256
6H,26.0007562
6D,26.0031418
6C,25.9917804
6S,25.9954631
7H,26.0006891
7D,26.0012877
7C,26.0023374
7S,26.0025861
8H,25.9947771
8D,26.0021715
8C,25.9885919
8S,26.0013097
9H,25.9999203
9D,26.001099
9C,25.9986044
9S,26.0069009
TH,25.9996844
TD,25.9967172
TC,26.0014399
TS,25.9954142
JH,26.000278
JD,26.0084535
JC,25.9945895
JS,25.9969766
QH,25.9884981
QD,26.0080712
QC,25.9947173
QS,26.0051387
KH,25.9960064
KD,26.0045029
KC,26.0020223
KS,25.9981048
AH,26.0032801
AD,26.0012829
AC,26.0004074
AS,26.0011434
