Card,Avg Location
2H,25.744597839135654
2D,26.212284913965586
2C,26.014605842336934
2S,25.936374549819927
3H,25.968987595038016
3D,26.02561024409764
3C,26.127551020408163
3S,26.149459783913567
4H,25.836934773909565
4D,25.75950380152061
4C,25.87144857943177
4S,26.073829531812724
5H,26.004901960784313
5D,25.859543817527012
5C,26.040916366546618
5S,25.873549419767908
6H,25.94907963185274
6D,25.946178471388556
6C,26.251000400160063
6S,26.11294517807123
7H,25.90526210484194
7D,25.819627851140456
7C,26.1343537414966
7S,26.04421768707483
8H,25.67406962785114
8D,26.20418167266907
8C,25.712084833933574
8S,25.864145658263304
9H,26.253201280512204
9D,26.02170868347339
9C,26.062424969987994
9S,26.11514605842337
TH,26.328131252501
TD,26.153361344537814
TC,25.782212885154063
TS,25.951480592236894
JH,25.97719087635054
JD,25.847138855542216
JC,25.80172068827531
JS,26.141956782713084
QH,26.214085634253703
QD,25.79501800720288
QC,25.972789115646258
QS,25.910664265706284
KH,26.07262905162065
KD,26.071628651460586
KC,26.154561824729893
KS,26.189275710284114
AH,25.890656262505
AD,26.204781912765107
AC,26.01910764305722
AS,25.95188075230092
