Card,Avg Location
2H,26.00656210499368
2D,25.993525896414344
2C,26.002014032224515
2S,26.02902446439143
3H,26.02250436006976
3D,26.005884094145507
3C,26.03023648378374
3S,25.98038368613898
4H,26.000046000736013
4D,25.971341541464664
4C,25.992795884734157
4S,25.98569777116434
5H,26.019622313957022
5D,26.00300604809677
5C,26.012092193475095
5S,26.03687659002544
6H,26.057562921006735
6D,25.97988167810685
6C,25.963601417622684
6S,26.014836237379797
7H,26.02593841501464
7D,26.03019648314373
7C,25.989679834877357
7S,25.98226971631546
8H,25.96308540936655
8D,26.02454239267828
8C,25.995803932862927
8S,26.002758044128704
9H,25.984353749659995
9D,25.996777948447175
9C,25.99503992063873
9S,25.989935838973423
TH,25.989553832861326
TD,25.99066385062161
TC,25.994495911934592
TS,25.978969663514615
JH,25.996883950143204
JD,26.011232179714874
JC,26.00031200499208
JS,26.013112209795356
QH,25.978327653242452
QD,25.999835997375957
QC,25.980285684570955
QS,26.01554624873998
KH,26.023458375334005
KD,25.961385382166114
KC,25.995141922270758
KS,25.982503720059523
AH,25.998735979775677
AD,26.02128634058145
AC,25.98465575449207
AS,25.99573593177491
