Card,Avg Location
2H,25.9971238
2D,25.9945655
2C,25.9982581
2S,25.9947525
3H,25.9978523
3D,25.9919102
3C,26.0029644
3S,25.9988059
4H,25.994752
4D,25.9981605
4C,26.0094094
4S,25.9973908
5H,25.9998972
5D,25.9962938
5C,25.997329
5S,25.9957433
6H,25.9990758
6D,25.9953887
6C,26.003386
6S,25.9998812
7H,26.0029152
7D,26.0001179
7C,26.013676
7S,26.0016424
8H,26.0106393
8D,26.0007723
8C,26.0038307
8S,26.0013036
9H,26.0004675
9D,25.9971818
9C,26.0019147
9S,25.9913512
TH,26.0010362
TD,25.9950354
TC,26.0050251
TS,26.0030856
JH,26.0003309
JD,26.0041097
JC,25.9982301
JS,26.0080006
QH,26.0070735
QD,26.0007812
QC,25.9948789
QS,26.0008158
KH,26.0050569
KD,25.99905
KC,25.9989724
KS,26.0026633
AH,25.9997497
AD,25.9986961
AC,25.9951063
AS,25.9935493
