Card,Avg Location
2H,26.017320692827713
2D,25.96441857674307
2C,26.026861074442976
2S,25.934047361894475
3H,25.994969798791953
3D,25.9982499299972
3C,25.932507300292013
3S,25.98103924156966
4H,25.970678827153087
4D,25.96939877595104
4C,25.991229649185968
4S,26.006910276411055
5H,25.940897635905436
5D,26.02016080643226
5C,25.97586903476139
5S,26.039101564062562
6H,26.02828113124525
6D,26.03165126605064
6C,26.001560062402497
6S,26.105304212168488
7H,25.997689907596303
7D,25.967278691147644
7C,25.98959958398336
7S,26.032491299651987
8H,26.045641825673027
8D,26.059122364894595
8C,26.08029321172847
8S,25.921356854274173
9H,25.934307372294892
9D,25.94108764350574
9C,25.97078883155326
9S,26.104234169366773
TH,26.08774350974039
TD,26.05123204928197
TC,26.07179287171487
TS,25.973498939957597
JH,25.954938197527902
JD,25.97846913876555
JC,26.038441537661505
JS,25.947127885115403
QH,25.972308892355695
QD,25.96133845353814
QC,25.953958158326333
QS,25.96934877395096
KH,26.046851874074964
KD,26.004570182807313
KC,26.035161406456258
KS,26.057402296091844
AH,25.95038801552062
AD,25.893115724628984
AC,26.06996279851194
AS,26.0080003200128
