Card,Avg Location
2H,25.994890166666668
2D,25.9906365
2C,25.999737166666666
2S,25.994283833333334
3H,25.992899333333334
3D,26.008355666666667
3C,26.002794833333333
3S,26.007608166666667
4H,26.00076
4D,26.002849166666667
4C,26.000802166666666
4S,25.999701666666667
5H,25.999277833333334
5D,26.000078333333335
5C,25.994799
5S,26.0025145
6H,26.0016185
6D,25.987502666666668
6C,26.0097605
6S,25.999126666666665
7H,26.004929333333333
7D,25.9982605
7C,26.005594666666667
7S,25.9964465
8H,26.002409166666666
8D,25.995133166666665
8C,26.002275666666666
8S,26.005932166666668
9H,25.996016
9D,26.008513333333333
9C,25.999407833333333
9S,26.004160166666665
TH,25.997897333333334
TD,26.00449516666667
TC,26.001887833333335
TS,26.007779833333334
JH,25.990005833333335
JD,25.991622
JC,25.997092333333335
JS,26.014681666666668
QH,26.001996333333334
QD,25.9890665
QC,26.000598833333335
QS,25.992255166666666
KH,26.005287833333334
KD,26.004515333333334
KC,25.997446166666666
KS,25.9912565
AH,25.9953315
AD,25.9954345
AC,26.007228666666666
AS,26.0050455
