Card,Avg Location
2H,25.645
2D,25.533
2C,26.177
2S,26.509
3H,26.333
3D,25.25
3C,25.574
3S,26.075
4H,25.515
4D,25.976
4C,26.154
4S,24.968
5H,26.942
5D,26.164
5C,25.581
5S,26.481
6H,26.54
6D,25.277
6C,26.623
6S,25.997
7H,25.855
7D,26.622
7C,25.561
7S,25.264
8H,26.314
8D,26.835
8C,25.788
8S,25.358
9H,26.602
9D,27.714
9C,25.759
9S,25.553
TH,25.211
TD,25.788
TC,25.964
TS,25.296
JH,25.526
JD,26.043
JC,26.01
JS,26.402
QH,26.018
QD,25.824
QC,27.138
QS,26.173
KH,26.146
KD,26.248
KC,25.5
KS,25.8
AH,25.82
AD,26.252
AC,26.075
AS,26.227
