Card,Avg Location
2H,25.96334
2D,26.01474
2C,26.00718
2S,26.00292
3H,25.99459
3D,26.04766
3C,26.02532
3S,25.99751
4H,26.04452
4D,25.95349
4C,25.98334
4S,25.97675
5H,25.99153
5D,26.01799
5C,26.03556
5S,25.98893
6H,25.96855
6D,26.01658
6C,25.99343
6S,25.94816
7H,25.98052
7D,25.94497
7C,25.92199
7S,26.12321
8H,26.03203
8D,25.97259
8C,25.99557
8S,26.04827
9H,26.07298
9D,26.02883
9C,26.0482
9S,25.97302
TH,26.0359
TD,26.00418
TC,25.89769
TS,25.9292
JH,26.03172
JD,25.992
JC,25.91675
JS,26.02754
QH,26.07935
QD,26.0391
QC,25.98543
QS,26.03407
KH,25.96991
KD,26.04966
KC,26.03685
KS,26.00547
AH,25.89814
AD,26.02183
AC,25.91968
AS,26.01126
