Card,Avg Location
2H,26.329
2D,25.812
2C,26.134
2S,25.493
3H,25.59
3D,25.495
3C,25.829
3S,26.884
4H,26.123
4D,26.249
4C,25.643
4S,25.872
5H,25.879
5D,25.925
5C,26.131
5S,26.44
6H,25.622
6D,26.12
6C,27.824
6S,25.494
7H,26.273
7D,26.066
7C,26.361
7S,24.917
8H,26.496
8D,26.201
8C,25.833
8S,25.938
9H,25.466
9D,26.783
9C,26.357
9S,26.157
TH,25.947
TD,25.675
TC,25.825
TS,26.089
JH,26.004
JD,25.427
JC,26.573
JS,25.525
QH,26.208
QD,26.078
QC,26.591
QS,25.448
KH,26.296
KD,25.606
KC,26.542
KS,26.075
AH,25.061
AD,25.894
AC,25.675
AS,25.725
